OrderID,CustomerID,ProductID,OrderDate,Quantity,OrderStatus,TotalAmount
101,146,1005,2020-07-16,2,Canceled,320.97
102,198,1005,2021-04-29,3,Delivered,60.32
103,37,1002,2022-12-18,4,Canceled,194.95
104,60,1003,2022-04-16,5,Delivered,336.42
105,176,1005,2022-10-05,2,Canceled,117.05
106,28,1001,2021-11-21,3,Shipped,362.94
107,197,1005,2022-11-01,2,Shipped,385.67
108,81,1002,2021-05-04,4,Shipped,491.89
109,114,1002,2020-10-02,2,Shipped,144.43
110,40,1003,2021-11-23,1,Shipped,421.31
111,45,1005,2020-08-29,3,Shipped,284.13
112,62,1001,2020-05-05,2,Delivered,218.06
113,93,1001,2020-08-04,4,Returned,105.07
114,115,1004,2022-11-28,4,Canceled,380.98
115,186,1001,2021-05-09,2,Shipped,156.14
116,67,1003,2021-03-02,4,Delivered,217.14
117,56,1003,2022-07-07,5,Delivered,78.14
118,40,1001,2020-05-30,5,Delivered,410.62
119,98,1001,2021-01-18,5,Returned,394.96
120,40,1004,2020-11-03,1,Canceled,380.13
121,91,1001,2022-01-15,2,Returned,184.75
122,33,1004,2022-06-10,1,Processing,128.07
123,6,1004,2021-01-09,4,Delivered,336.9
124,147,1001,2022-10-28,1,Processing,273.27
125,80,1002,2020-05-08,4,Shipped,130.21
126,168,1002,2022-10-11,4,Shipped,358.66
127,92,1004,2021-10-30,3,Returned,496.01
128,97,1001,2021-05-31,5,Canceled,386.25
129,59,1002,2020-03-26,4,Processing,382.99
130,59,1001,2020-11-06,3,Canceled,477.64
131,48,1001,2021-03-02,5,Returned,141.32
132,169,1001,2020-04-23,4,Shipped,304.5
133,13,1005,2020-10-29,4,Canceled,490.84
134,107,1001,2022-01-13,1,Canceled,124.38
135,45,1005,2021-08-10,1,Shipped,365.11
136,89,1004,2022-09-13,5,Processing,313.61
137,181,1002,2020-12-10,4,Shipped,313.92
138,170,1002,2022-03-24,2,Canceled,363.95
139,100,1002,2022-03-11,1,Processing,468.33
140,191,1002,2022-10-21,5,Processing,402.16
141,155,1002,2022-12-12,4,Shipped,75.26
142,166,1002,2022-12-28,4,Canceled,433.73
143,188,1002,2020-12-26,2,Returned,151.49
144,7,1004,2022-10-06,5,Canceled,219.61
145,133,1001,2021-12-04,4,Delivered,257.78
146,45,1003,2021-07-28,1,Returned,266.41
147,58,1005,2021-11-18,2,Processing,245.83
148,31,1003,2022-02-19,5,Returned,471.81
149,23,1003,2021-08-07,2,Processing,367.71
150,170,1001,2021-08-11,1,Processing,334.03
151,138,1001,2021-05-03,5,Returned,72.43
152,160,1001,2022-08-28,2,Processing,456.76
153,107,1002,2021-05-08,3,Processing,459.23
154,181,1004,2020-01-19,1,Delivered,401.1
155,158,1002,2021-01-31,1,Canceled,53.16
156,39,1004,2022-09-27,1,Canceled,75.78
157,159,1004,2022-04-30,3,Delivered,151.35
158,82,1003,2022-04-01,3,Returned,109.11
159,100,1003,2021-03-30,4,Shipped,229.48
160,2,1004,2021-12-25,2,Shipped,465.18
161,77,1004,2022-12-24,4,Shipped,262.43
162,12,1002,2021-12-11,2,Delivered,56.03
163,39,1002,2020-05-22,3,Delivered,177.24
164,194,1003,2022-07-05,3,Processing,70.07
165,13,1001,2022-04-07,4,Shipped,66.33
166,46,1004,2021-08-27,5,Returned,174.07
167,155,1002,2020-10-31,4,Returned,174.03
168,113,1003,2022-01-05,2,Shipped,404.21
169,17,1002,2020-10-17,4,Shipped,488.68
170,104,1004,2020-04-11,1,Shipped,217.04
171,98,1004,2022-05-16,2,Delivered,243.0
172,188,1005,2022-08-25,2,Delivered,430.16
173,192,1001,2022-08-31,5,Delivered,170.66
174,88,1005,2022-04-21,3,Canceled,120.37
175,109,1003,2022-08-19,2,Returned,433.89
176,163,1002,2022-07-30,3,Returned,70.93
177,70,1003,2022-10-23,4,Processing,328.86
178,158,1004,2020-03-25,1,Delivered,302.9
179,199,1005,2020-11-23,5,Canceled,205.66
180,74,1005,2022-03-26,3,Canceled,191.84
181,63,1005,2021-03-29,2,Returned,397.34
182,156,1003,2021-09-20,3,Delivered,88.89
183,60,1004,2021-10-26,2,Processing,156.55
184,79,1002,2020-01-12,3,Delivered,379.6
185,37,1002,2020-10-30,2,Shipped,296.74
186,22,1003,2022-09-01,4,Delivered,107.59
187,196,1005,2022-02-21,2,Shipped,446.96
188,148,1001,2020-02-12,2,Shipped,227.05
189,96,1003,2022-08-01,1,Processing,422.54
190,68,1003,2020-12-08,2,Returned,404.47
191,192,1004,2021-05-12,1,Delivered,330.99
192,17,1002,2020-12-29,5,Shipped,272.52
193,12,1003,2022-06-09,1,Delivered,490.8
194,150,1003,2021-03-02,4,Returned,115.23
195,145,1005,2022-10-01,1,Returned,376.32
196,138,1005,2020-01-21,5,Canceled,136.04
197,118,1001,2021-02-10,4,Returned,202.22
198,193,1004,2021-09-10,3,Processing,188.91
199,22,1001,2022-10-11,3,Shipped,476.17
200,120,1005,2020-12-01,1,Canceled,485.31
201,50,1002,2021-02-02,1,Processing,132.36
202,14,1005,2022-03-03,5,Delivered,59.92
203,192,1004,2021-12-15,5,Shipped,374.0
204,175,1005,2020-02-20,2,Returned,238.1
205,29,1004,2020-11-19,5,Shipped,89.98
206,164,1004,2022-02-27,2,Delivered,357.69
207,180,1004,2020-05-20,4,Canceled,295.3
208,125,1004,2021-04-14,1,Canceled,491.23
209,7,1004,2022-02-25,4,Canceled,152.33
210,29,1002,2022-08-21,5,Returned,231.79
211,139,1001,2022-10-04,4,Processing,294.15
212,33,1003,2021-01-07,4,Processing,406.26
213,134,1001,2021-05-08,4,Shipped,296.98
214,111,1004,2022-01-20,5,Returned,325.81
215,79,1002,2020-10-17,4,Canceled,151.77
216,160,1005,2020-04-15,2,Canceled,431.11
217,179,1002,2021-10-31,5,Delivered,242.88
218,58,1004,2020-01-02,4,Delivered,113.43
219,26,1002,2021-08-11,5,Canceled,348.88
220,174,1002,2021-10-05,3,Canceled,147.24
221,29,1004,2020-03-30,2,Returned,93.9
222,4,1002,2020-12-15,4,Processing,437.89
223,99,1003,2022-11-28,3,Delivered,257.07
224,141,1003,2022-06-27,3,Processing,387.18
225,39,1002,2020-06-07,5,Returned,180.76
226,15,1005,2022-08-16,3,Canceled,404.14
227,119,1004,2020-11-07,2,Processing,100.37
228,29,1003,2021-03-20,2,Canceled,210.19
229,157,1005,2020-10-24,1,Canceled,490.13
230,75,1002,2022-08-09,2,Shipped,407.3
231,116,1005,2020-02-05,3,Processing,273.77
232,32,1001,2021-07-12,2,Processing,202.9
233,130,1003,2022-06-09,5,Canceled,442.46
234,175,1002,2020-05-20,1,Returned,295.18
235,84,1004,2022-06-05,3,Shipped,391.29
236,22,1002,2021-12-26,1,Canceled,389.35
237,27,1004,2022-11-15,3,Delivered,58.08
238,195,1002,2021-06-04,5,Delivered,106.81
239,81,1005,2020-01-10,1,Shipped,346.83
240,126,1005,2022-09-10,4,Returned,122.73
241,184,1005,2021-01-12,3,Canceled,164.97
242,92,1001,2021-11-12,4,Processing,475.99
243,21,1004,2021-08-06,1,Shipped,302.08
244,47,1005,2020-05-31,4,Returned,387.83
245,101,1001,2021-12-20,4,Processing,301.09
246,187,1004,2022-12-08,1,Delivered,298.63
247,84,1002,2022-05-08,5,Delivered,92.37
248,6,1001,2020-02-19,4,Processing,204.65
249,147,1003,2021-10-25,4,Shipped,177.09
250,185,1001,2021-06-14,5,Delivered,225.83
251,197,1001,2022-12-19,4,Canceled,409.25
252,131,1004,2022-05-06,4,Processing,217.37
253,1,1002,2020-05-25,4,Processing,253.26
254,58,1003,2022-07-03,2,Delivered,228.82
255,124,1005,2022-09-19,5,Shipped,92.03
256,166,1005,2020-08-29,4,Canceled,248.48
257,15,1001,2021-08-03,5,Shipped,138.02
258,162,1004,2021-11-17,3,Returned,134.03
259,189,1004,2021-04-27,3,Returned,92.32
260,163,1005,2021-11-03,4,Delivered,210.5
261,64,1003,2021-09-22,5,Delivered,390.87
262,25,1002,2021-10-22,5,Delivered,174.4
263,24,1003,2021-10-23,5,Returned,190.56
264,12,1002,2022-03-15,2,Shipped,339.2
265,18,1005,2021-02-22,3,Shipped,138.13
266,15,1002,2022-09-14,5,Delivered,453.63
267,27,1004,2021-10-11,5,Canceled,284.09
268,72,1001,2022-08-26,2,Shipped,251.42
269,60,1001,2021-08-12,2,Returned,301.02
270,174,1005,2021-05-23,5,Processing,124.72
271,145,1004,2021-03-16,1,Processing,326.06
272,93,1003,2022-07-09,5,Processing,213.4
273,53,1004,2022-02-08,5,Canceled,453.73
274,8,1001,2020-09-19,2,Delivered,125.98
275,79,1001,2021-09-28,2,Returned,278.17
276,27,1004,2021-04-03,5,Canceled,319.15
277,174,1004,2022-09-25,5,Returned,65.02
278,50,1001,2021-11-30,5,Returned,213.66
279,199,1003,2020-10-28,2,Delivered,379.69
280,131,1005,2021-07-07,5,Processing,419.17
281,93,1005,2020-10-14,5,Delivered,190.92
282,192,1004,2021-09-12,4,Canceled,409.37
283,172,1005,2022-10-02,1,Canceled,485.49
284,181,1001,2020-02-05,3,Canceled,435.59
285,24,1001,2022-01-13,1,Delivered,102.94
286,60,1004,2020-12-18,4,Returned,382.88
287,122,1004,2020-03-13,3,Returned,193.85
288,131,1004,2021-10-09,5,Shipped,494.79
289,148,1003,2022-12-29,4,Canceled,268.41
290,46,1005,2021-02-28,5,Returned,105.1
291,15,1004,2022-09-25,2,Shipped,376.33
292,153,1002,2021-12-08,4,Returned,195.36
293,199,1002,2021-07-14,2,Canceled,498.69
294,17,1001,2022-04-07,4,Processing,490.9
295,126,1005,2022-08-13,4,Canceled,345.26
296,84,1004,2021-05-31,2,Delivered,108.42
297,9,1002,2021-03-03,3,Returned,359.09
298,166,1005,2020-06-08,1,Returned,91.86
299,176,1001,2020-05-28,5,Delivered,63.21
300,188,1003,2022-02-14,4,Delivered,420.33
